game,league,season,team_name,player,jersey_number,pos,match_name
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Athletic Club
2022-09-03 Sevilla-Barcelona,ESP-La Liga,2223,Barcelona,Pedri,8,LM,Sevilla-Barcelona
2022-09-03 Sevilla-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Sevilla-Barcelona
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Raphinha,22,LW,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Pedri,8,"RM,LW",Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,RW,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Getafe
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,AM,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Eric García,24,CB,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Barcelona-Osasuna
