game,league,season,team_name,player,jersey_number,pos,match_name
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Héctor Bellerín,2,RB,Barcelona-Elche
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Jules Koundé,23,"RB,CB",Barcelona-Elche
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Elche
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Memphis,14,LW,Barcelona-Elche
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,RW,Barcelona-Elche
2022-09-17 Barcelona-Elche,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Barcelona-Elche
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,"LM,RW",Getafe-Barcelona
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Ronald Araújo,4,CB,Barcelona-Sevilla
2023-01-08 Atlético Madrid-Barcelona,ESP-La Liga,2223,Barcelona,Ansu Fati,10,FW,Atlético de Madrid-Barcelona
2023-01-08 Atlético Madrid-Barcelona,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,FW,Atlético de Madrid-Barcelona
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,LB,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LM,Barcelona-Real Betis
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,LB,Barcelona-Sevilla
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RM,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,LM,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Gavi,30,LW,Barcelona-Real Betis
2023-04-26 Rayo Vallecano-Barcelona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Rayo Vallecano-Barcelona
2023-04-26 Rayo Vallecano-Barcelona,ESP-La Liga,2223,Barcelona,Jules Koundé,23,"RB,CB",Rayo Vallecano-Barcelona
2022-12-31 Barcelona-Espanyol,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Barcelona-Espanyol
2022-12-31 Barcelona-Espanyol,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Barcelona-Espanyol
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Jules Koundé,23,RB,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Lamine Yamal,41,LW,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Real Betis
2023-04-29 Barcelona-Betis,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Barcelona-Real Betis
2023-01-08 Atlético Madrid-Barcelona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,"RM,LM",Atlético de Madrid-Barcelona
2023-03-05 Barcelona-Valencia,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,"LB,LM",Barcelona-Valencia CF
2023-01-08 Atlético Madrid-Barcelona,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Atlético de Madrid-Barcelona
2023-01-08 Atlético Madrid-Barcelona,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,LB,Atlético de Madrid-Barcelona
2023-04-26 Rayo Vallecano-Barcelona,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Rayo Vallecano-Barcelona
2023-04-26 Rayo Vallecano-Barcelona,ESP-La Liga,2223,Barcelona,Pablo Torre,32,LM,Rayo Vallecano-Barcelona
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Pedri,8,RM,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Jules Koundé,23,RB,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Gavi,6,LW,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,LM,Barcelona-Sevilla
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Franck Kessié,19,CM,Barcelona-Sevilla
2022-10-29 Valencia-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Valencia CF-Barcelona
2023-02-05 Barcelona-Sevilla,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,RW,Barcelona-Sevilla
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Gavi,30,"LM,RM",Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Jules Koundé,23,"RB,CB",Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Pablo Torre,32,LM,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Ronald Araújo,4,CB,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Getafe-Barcelona
2023-04-16 Getafe-Barcelona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RM,Getafe-Barcelona
2022-10-29 Valencia-Barcelona,ESP-La Liga,2223,Barcelona,Pedri,8,LM,Valencia CF-Barcelona
2022-08-13 Barcelona-Rayo Vallecano,ESP-La Liga,2223,Barcelona,Eric García,24,CB,Barcelona-Rayo Vallecano
2022-10-29 Valencia-Barcelona,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Valencia CF-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Gavi,30,LM,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Gerard Piqué,3,CB,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,RW,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Pedri,8,RM,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,LW,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RM,Mallorca-Barcelona
2022-10-01 Mallorca-Barcelona,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Mallorca-Barcelona
2022-09-03 Sevilla-Barcelona,ESP-La Liga,2223,Barcelona,Gavi,30,RM,Sevilla-Barcelona
2023-05-20 Barcelona-Real Sociedad,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Real Sociedad
2023-05-20 Barcelona-Real Sociedad,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Barcelona-Real Sociedad
2023-05-20 Barcelona-Real Sociedad,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,"LW,RW",Barcelona-Real Sociedad
